"Surveillance_system","Collection_year","Collection_week","Pool_No","ID","Species","Pool_size","Life_stage_E_L_P_A","Sex_F_M","Location","Code","USUV","WNV"
"BRS",2020,27,"95","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W27P2",0,0
"BRS",2020,27,"96","","Culex pipiens/torrentium",3,"A","F","Maastricht","MST20W27P3",0,0
"BRS",2020,28,"97","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W28P1",0,0
"BRS",2020,28,"98","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W28P2",0,0
"BRS",2020,28,"99","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W28P3",0,0
"BRS",2020,28,"100","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W28P4",0,0
"BRS",2020,28,"101","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W28P5",0,0
"BRS",2020,28,"102","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W28P6",0,0
"BRS",2020,28,"103","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W28P7",0,0
"BRS",2020,28,"104","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W28P8",0,0
"BRS",2020,28,"105","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W28P9",0,0
"BRS",2020,28,"106","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W28P10",0,0
"BRS",2020,28,"107","","Culex pipiens/torrentium",3,"A","F","Maastricht","MST20W28P11",0,0
"BRS",2020,29,"108","","Culex pipiens/torrentium",7,"A","F","Maastricht","MST20W29P1",0,0
"BRS",2020,32,"109","","Culex pipiens/torrentium",1,"A","F","Maastricht","MST20W32P1",0,0
"BRS",2020,36,"110","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W36P1",0,0
"BRS",2020,36,"111","","Culex pipiens/torrentium",2,"A","F","Maastricht","MST20W36P2",0,0
"BRS",2020,37,"112","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W37P1",0,0
"BRS",2020,37,"113","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W37P2",0,0
"BRS",2020,37,"114","","Culex pipiens/torrentium",6,"A","F","Maastricht","MST20W37P3",0,0
"BRS",2020,35,"115","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W35P1",0,0
"BRS",2020,35,"116","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W35P2",0,0
"BRS",2020,35,"117","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W35P3",0,0
"BRS",2020,35,"118","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W35P4",0,0
"BRS",2020,35,"119","","Culex pipiens/torrentium",10,"A","F","Maastricht","MST20W35P5",0,0
"BRS",2020,35,"120","","Culex pipiens/torrentium",2,"A","F","Maastricht","MST20W35P6",0,0
"BRS",2020,38,"121","","Culex pipiens/torrentium",6,"A","F","Maastricht","MST20W38P1",0,0
"BRS",2020,38,"122","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W38P1",0,0
"BRS",2020,38,"123","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W38P2",0,0
"BRS",2020,38,"124","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W38P3",0,0
"BRS",2020,38,"125","","Culex pipiens/torrentium",1,"A","F","Reusel","RSL20W38P4",0,0
"BRS",2020,36,"126","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W36P1",0,0
"BRS",2020,36,"127","","Culex pipiens/torrentium",5,"A","F","Reusel","RSL20W36P2",0,0
"BRS",2020,39,"128","","Culex pipiens/torrentium",4,"A","F","Reusel","RSL20W39P1",0,0
"BRS",2020,29,"129","","Culex pipiens/torrentium",8,"A","F","Reusel","RSL20W29P1",0,0
"BRS",2020,31,"130","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W31P1",0,0
"BRS",2020,35,"131","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W35P1",0,0
"BRS",2020,35,"132","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W35P2",0,0
"BRS",2020,35,"133","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W35P3",0,0
"BRS",2020,35,"134","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W35P4",0,0
"BRS",2020,35,"135","","Culex pipiens/torrentium",9,"A","F","Reusel","RSL20W35P5",0,0
"BRS",2020,27,"136","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W27P1",0,0
