Row,INSDC Sequence accession,ID,applicant,DeathOrSampleDate,DateInfo,English,Dutch,Latin,family,order,location,province,Lat,Long,BirdUSUV,BirdTestedWNV
858,,AS20221602,DWHC,12-07-2022,DateFound,House Sparrow,Huismus,Passer domesticus,Passeridae,Passeriformes,Sijbekarpsel,N-Holland,52.71,5,0,TRUE
859,,AS20221577,DWHC,18-07-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Halsteren,Brabant,51.53,4.27,0,TRUE
860,,AS20221584,DWHC,18-07-2022,DateFound,Blue Tit,Pimpelmees,Cyanistes caeruleus,Paridae,Passeriformes,Midwoud,N-Holland,52.71,5.07,0,TRUE
861,,AS20221594,DWHC,19-07-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Naaldwijk,Z-Holland,52,4.22,0,TRUE
862,,AS20221607,DWHC,21-07-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Helenaveen,Brabant,51.39,5.92,0,TRUE
863,,AS20221642,DWHC,21-07-2022,DateFound,Montagu's Harrier,Grauwe Kiekendief,Circus pygargus,Accipitridae,Accipitriformes,Drieborg,Groningen,53.22,7.21,0,TRUE
864,,AS20221697,DWHC,25-07-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Elst,Gelderland,51.91,5.83,0,TRUE
865,,AS20221670,DWHC,24-07-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Eindhoven,Brabant,51.48,5.43,1,TRUE
866,,AS20221712,DWHC,25-07-2022,DateFound,Western House-Martin,Huiszwaluw,Delichon urbicum,Hirundinidae,Passeriformes,Termunten,Groningen,53.3,7.08,0,TRUE
867,,AS20221682,DWHC,25-07-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Hardenberg,Overijssel,52.58,6.6,0,TRUE
868,,AS20221717,DWHC,25-07-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Grijpskerk,Groningen,53.26,6.3,0,TRUE
869,,AS20221687,DWHC,26-07-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Almere,Flevoland,52.35,5.22,0,TRUE
870,,AS20221707,DWHC,27-07-2022,DateFound,Eurasian Magpie,Ekster,Pica pica,Corvidae,Passeriformes,Amsterdam,N-Holland,52.36,4.83,0,TRUE
871,,AS20221627,DWHC,28-07-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Eindhoven,Brabant,51.45,5.53,1,TRUE
872,,AS20221622,DWHC,31-07-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Utrecht,Utrecht,52.07,5.09,0,TRUE
873,,AS20221722,DWHC,01-08-2022,DateFound,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Klein Zundert,Brabant,51.55,4.58,1,TRUE
874,,AS20221637,DWHC,04-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Hoogerheide,Brabant,51.43,4.31,1,TRUE
875,,AS20221736,DWHC,18-04-2022,DateFound,Common Raven,Raaf,Corvus corax,Corvidae,Passeriformes,Ede,Gelderland,52.08,5.75,0,TRUE
876,,AS20221741,DWHC,20-04-2022,DateFound,Common Raven,Raaf,Corvus corax,Corvidae,Passeriformes,Bilthoven,Utrecht,52.11,5.22,0,TRUE
877,,AS20221731,DWHC,14-04-2022,DateFound,Common Raven,Raaf,Corvus corax,Corvidae,Passeriformes,Putten,Gelderland,52.25,5.52,0,TRUE
878,,AS20221746,DWHC,11-04-2022,DateFound,Common Raven,Raaf,Corvus corax,Corvidae,Passeriformes,Putten,Gelderland,52.25,5.52,0,TRUE
879,,AS20221751,DWHC,10-07-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Naarden,N-Holland,51.98,5.74,1,TRUE
880,,AS20221726,DWHC,05-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Best,Brabant,51.51,5.4,0,TRUE
881,,AS20221660,DWHC,08-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Den bosch,Brabant,51.69,5.3,1,TRUE
882,,AS20221657,DWHC,04-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Klein Zundert,Brabant,51.47,4.65,1,TRUE
883,,AS20221617,DWHC,08-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Drunen,Brabant,51.69,5.13,1,TRUE
