Row,INSDC Sequence accession,ID,applicant,DeathOrSampleDate,DateInfo,English,Dutch,Latin,family,order,location,province,Lat,Long,BirdUSUV,BirdTestedWNV
1102,,21TV3899,LiveBirdSurveillance,01-08-2021,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,"Haarzuilens, Eendenkooi, CES locatie",Utrecht,52.13,5.01,0,TRUE
1103,,21TV5528,LiveBirdSurveillance,23-08-2021,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,VRS Terschelling - Oosterend,Friesland,53.4,5.38,0,TRUE
1104,,21TV7543,LiveBirdSurveillance,27-10-2021,DateSampling,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Eastermar,Friesland,53.18,6.06,0,TRUE
1105,,21TV3413,LiveBirdSurveillance,18-12-2021,DateSampling,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Maastricht,Limburg,50.83,5.73,0,TRUE
1106,,21TV3535,LiveBirdSurveillance,18-12-2021,DateSampling,European Robin,Roodborst,Erithacus rubecula,Turdidae,Passeriformes,Maastricht,Limburg,50.83,5.73,0,TRUE
1107,,21TV9204,LiveBirdSurveillance,30-01-2022,DateSampling,Sanderling,Drieteenstrandloper,Calidris alba,Scolopacidae,Charadriiformes,"Suyderoogh, Lauwersoog, Het Hogeland",Groningen,53.39,6.21,0,TRUE
1108,,21TV4333,LiveBirdSurveillance,20-03-2022,DateSampling,Common Chiffchaff,Tjiftjaf,Phylloscopus collybita,Phylloscopidae,Passeriformes,"Haarzuilens, Griend",Utrecht,52.14,5,0,TRUE
1109,,20TV4760,LiveBirdSurveillance,10-01-2021,DateSampling,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Vleuten Maximapark,Utrecht,52.09,5.02,0,TRUE
1110,,21TV0900,LiveBirdSurveillance,14-04-2022,DateSampling,Common Raven,Raaf,Corvus corax,Corvidae,Passeriformes,"Putten, Oldenaller",Gelderland,52.25,5.52,0,TRUE
1111,,22TV0036,LiveBirdSurveillance,23-04-2022,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Natuurgebied De Burgumer Mar Oostoever,Friesland,53.19,6.06,0,TRUE
1112,,20TV4758,LiveBirdSurveillance,12-01-2021,DateSampling,Common Starling,Spreeuw,Sturnus vulgaris,Sturnidae,Passeriformes,"Vleuten, Haarrijnseplas",Utrecht,52.11,5.02,0,TRUE
1113,,21TV7202,LiveBirdSurveillance,02-06-2022,DateSampling,Little Owl,Steenuil,Athene noctua,Strigidae,Strigiformes,IJsselstein,Utrecht,52.03,5,0,TRUE
1114,,22TV2166,LiveBirdSurveillance,03-06-2022,DateSampling,Sandwich Tern,Grote Stern,Thalasseus sandvicensis,Laridae,Charadriiformes,"Slijkplaat, Haringvliet",Z-Holland,51.8,4.15,0,TRUE
1115,,22TV2167,LiveBirdSurveillance,03-06-2022,DateSampling,Lesser Black-backed Gull,Kleine Mantelmeeuw,Larus fuscus,Laridae,Charadriiformes,"Slijkplaat, Haringvliet",Z-Holland,51.8,4.15,0,TRUE
1116,,22TV2168,LiveBirdSurveillance,03-06-2022,DateSampling,Sandwich Tern,Grote Stern,Thalasseus sandvicensis,Laridae,Charadriiformes,"Slijkplaat, Haringvliet",Z-Holland,51.8,4.15,0,TRUE
1117,,22TV2169,LiveBirdSurveillance,03-06-2022,DateSampling,Sandwich Tern,Grote Stern,Thalasseus sandvicensis,Laridae,Charadriiformes,"Slijkplaat, Haringvliet",Z-Holland,51.8,4.15,0,TRUE
1118,,22TV2170,LiveBirdSurveillance,03-06-2022,DateSampling,Common Tern,Visdief,Sterna hirundo,Laridae,Charadriiformes,"Bliek, Haringvliet",Z-Holland,51.78,4.22,0,TRUE
1119,,22TV1327,LiveBirdSurveillance,17-06-2022,DateSampling,Common Quail,Kwartel,Coturnix coturnix,Phasianidae,Galliformes,Exloo,Drenthe,52.91,6.87,0,TRUE
1120,,22TV1331,LiveBirdSurveillance,17-06-2022,DateSampling,Common Quail,Kwartel,Coturnix coturnix,Phasianidae,Galliformes,Valthermond,Drenthe,52.87,6.91,0,TRUE
1121,,22TV2796,LiveBirdSurveillance,17-07-2022,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,"Haarzuilens, Griend",Utrecht,52.14,5,0,TRUE
1122,,22TV3132,LiveBirdSurveillance,30-07-2022,DateSampling,Eurasian Blackcap,Zwartkop,Sylvia atricapilla,Sylviidae,Passeriformes,"Haarzuilens, Eendenkooi, CES locatie",Utrecht,52.13,5.01,0,TRUE
1123,,22TV2613,LiveBirdSurveillance,28-08-2022,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,"Haarzuilens, Eendenkooi, CES locatie",Utrecht,52.13,5.01,1,TRUE
1124,,22TV2696,LiveBirdSurveillance,04-09-2022,DateSampling,Common Chiffchaff,Tjiftjaf,Phylloscopus collybita,Phylloscopidae,Passeriformes,"Haarzuilens, Griend",Utrecht,52.14,5,0,TRUE
1125,,21TV8135,LiveBirdSurveillance,21-09-2022,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,"Berg en Dal, Oranjelaan",Gelderland,51.82,5.91,1,TRUE
1126,,22B00151,LiveBirdSurveillance,15-09-2022,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,"Breukelen, Oud AA",Utrecht,52.17,4.98,1,TRUE
1127,,21TV5173,LiveBirdSurveillance,26-09-2022,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Goor,Overijssel,52.23,6.59,1,TRUE
1128,,22B00859,LiveBirdSurveillance,24-10-2022,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Heiweg Nuland,Brabant,51.72,5.44,0,TRUE
1129,,358-2032,LiveBirdSurveillance,12-11-2022,DateSampling,Eurasian Wren,Winterkoning,Troglodytes troglodytes,Certhiidae,Passeriformes,"Haarzuilens, Eendenkooi, CES locatie",Utrecht,52.13,5.01,0,TRUE
1130,,358-2036,LiveBirdSurveillance,12-11-2022,DateSampling,Eurasian Wren,Winterkoning,Troglodytes troglodytes,Certhiidae,Passeriformes,"Haarzuilens, Eendenkooi, CES locatie",Utrecht,52.13,5.01,0,TRUE
1131,,358-2018,LiveBirdSurveillance,12-11-2022,DateSampling,Common Firecrest,Vuurgoudhaan,Regulus ignicapilla,Regulidae,Passeriformes,"Haarzuilens, Eendenkooi, CES locatie",Utrecht,52.13,5.01,0,TRUE
1132,,358-2108,LiveBirdSurveillance,12-11-2022,DateSampling,Blue Tit,Pimpelmees,Cyanistes caeruleus,Paridae,Passeriformes,"Haarzuilens, Eendenkooi, CES locatie",Utrecht,52.13,5.01,0,TRUE
1133,,22B02519,LiveBirdSurveillance,25-11-2022,DateSampling,Common Chaffinch,Vink,Fringilla coelebs,Fringillidae,Passeriformes,Maastricht,Limburg,50.83,5.73,0,TRUE
1134,,21TV4245,LiveBirdSurveillance,02-12-2022,DateSampling,Little Owl,Steenuil,Athene noctua,Strigidae,Strigiformes,"Bedrijfsgebouw WUR, Wageningen",Gelderland,51.99,5.66,0,TRUE
1135,,AS201800213,Maria Elisa Vogelhospitaal,01-09-2017,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Bennebroek,N-Holland,52.32,4.59,1,TRUE
1136,,AS20210161,DWHC,26-04-2021,DateSampling,Mute Swan,Knobbelzwaan,Cygnus olor,Anatidae,Anseriformes,Boschhoven,Brabant,51.36,5.55,0,TRUE
1137,,AS20210095,DWHC,19-04-2021,DateSampling,Mute Swan,Knobbelzwaan,Cygnus olor,Anatidae,Anseriformes,Budel,Brabant,51.27,5.57,0,TRUE
1138,,AS20190768,DWHC,11-11-2019,DateSampling,European Robin,Roodborst,Erithacus rubecula,Turdidae,Passeriformes,Den bosch,Brabant,51.69,5.3,0,TRUE
1139,,AS201800201,NIOO,25-02-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Eerbeek,Gelderland,52.11,6.07,1,TRUE
1140,,AS20221202,DWHC,14-04-2022,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Gieten,Drenthe,53,6.76,0,TRUE
1141,,AS201800214,Maria Elisa Vogelhospitaal,01-09-2017,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Haarlem,N-Holland,52.38,4.64,1,TRUE
1142,,AS201800215,Maria Elisa Vogelhospitaal,01-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Haarlem,N-Holland,52.38,4.64,1,TRUE
1143,,AS201800218,Maria Elisa Vogelhospitaal,01-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Haarlem,N-Holland,52.38,4.64,1,TRUE
1144,,AS201800219,Maria Elisa Vogelhospitaal,01-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Haarlem,N-Holland,52.38,4.64,1,TRUE
1145,,AS201800221,Maria Elisa Vogelhospitaal,01-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Haarlem,N-Holland,52.38,4.64,1,TRUE
1146,,AS201800222,Maria Elisa Vogelhospitaal,01-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Haarlem,N-Holland,52.38,4.64,1,TRUE
1147,,AS20200308,NIOO,16-06-2019,DateDeath,Barn Swallow,Boerenzwaluw,Hirundo rustica,Hirundinidae,Passeriformes,Hardenberg,Overijssel,52.57,6.63,0,TRUE
1148,,AS20200518,DWHC,22-09-2020,DateSampling,Common Barn Owl,Kerkuil,Tyto alba,Tytonidae,Strigiformes,Hardinxveld-Giessendam,Z-Holland,51.84,4.82,0,TRUE
1149,,AS201800217,Maria Elisa Vogelhospitaal,01-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Hoofddorp,N-Holland,52.31,4.69,1,TRUE
1150,MN122182,AS201600280,Dead bird Oss,26-09-2016,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Ingen,Gelderland,51.96,5.49,1,FALSE
1151,,AS20211078,DWHC,12-10-2021,DateSampling,Egyptian Goose,Nijlgans,Alopochen aegyptiaca,Anatidae,Anseriformes,Koedijk,N-Holland,52.67,4.76,0,TRUE
1152,MN122183,AS201600281,Dead bird Oss,25-09-2016,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Langbroek,Gelderland,52.01,5.33,1,FALSE
1153,,AS201600279,Dead bird Oss,18-09-2016,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Oss,Brabant,51.77,5.53,1,FALSE
1154,MN122186,AS201600286,Dead bird Oss,28-09-2016,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Oss,Brabant,51.77,5.53,1,FALSE
1155,MN122184,AS201600283,Dead bird Oss,27-09-2016,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Oss,Brabant,51.77,5.53,1,FALSE
1156,MN122185,AS201600284,Dead bird Oss,03-10-2016,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Oss,Brabant,51.77,5.53,1,FALSE
1157,,AS201800220,Maria Elisa Vogelhospitaal,01-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Overveen,N-Holland,52.39,4.61,1,TRUE
1158,,AS201800072,DWHC,26-06-2018,DateDeath,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Roden,Drenthe,53.14,6.43,0,FALSE
1159,MN122187,AS201600287,Dead bird Oss,27-09-2016,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Schaik,Brabant,51.76,5.51,1,FALSE
1160,,AS20210144,DWHC,29-04-2021,DateSampling,European Goldfinch,Putter,Carduelis carduelis,Fringillidae,Passeriformes,Tiel,Gelderland,51.89,5.43,0,TRUE
1161,,AS20202501,DWHC,26-02-2021,DateSampling,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Utrecht,Utrecht,52.08,5.13,0,TRUE
1162,,AS20210638,DWHC,27-07-2021,DateSampling,Common Chiffchaff,Tjiftjaf,Phylloscopus collybita,Phylloscopidae,Passeriformes,Utrecht,Utrecht,52.08,5.13,0,TRUE
1163,,AS20210617,DWHC,03-08-2021,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Utrecht,Utrecht,52.08,5.13,0,TRUE
1164,,AS201800216,Maria Elisa Vogelhospitaal,01-08-2018,DateDeath,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Velserbroek,N-Holland,52.43,4.66,1,TRUE
1165,,22B00465,LiveBirdSurveillance,15-09-2022,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Alkmaar,N-Holland,52.6,4.82,1,TRUE
1166,,20TV3326,LiveBirdSurveillance,24-10-2020,DateSampling,Mute Swan,Knobbelzwaan,Cygnus olor,Anatidae,Anseriformes,Almere Bloemenbuurt,Flevoland,52.39,5.28,0,TRUE
1167,,21TV8442,LiveBirdSurveillance,20-04-2022,DateSampling,Common Raven,Raaf,Corvus corax,Corvidae,Passeriformes,Beerschoten Bosch en Duin Bilthoven,Utrecht,52.11,5.21,0,TRUE
1168,,21TV3099,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,Haarzuilens,Utrecht,52.12,5,0,TRUE
1169,,21TV3179,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,Haarzuilens,Utrecht,52.12,5,0,TRUE
1170,,21TV3180,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,Haarzuilens,Utrecht,52.12,5,0,TRUE
1171,,21TV3181,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,Haarzuilens,Utrecht,52.12,5,0,TRUE
1172,,21TV3182,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,Haarzuilens,Utrecht,52.12,5,0,TRUE
1173,,21TV3183,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,Haarzuilens,Utrecht,52.12,5,0,TRUE
1174,,21TV3186,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,Haarzuilens,Utrecht,52.12,5,0,TRUE
1175,,21TV3187,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,Haarzuilens,Utrecht,52.12,5,0,TRUE
1176,,21TV3188,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,Haarzuilens,Utrecht,52.12,5,0,TRUE
1177,,21TV3189,LiveBirdSurveillance,23-06-2021,DateSampling,Sand Martin,Oeverzwaluw,Riparia riparia,Hirundinidae,Passeriformes,Haarzuilens,Utrecht,52.12,5,0,TRUE
1178,,22TV1030,LiveBirdSurveillance,13-06-2022,DateSampling,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Krommenie,N-Holland,52.5,4.77,0,TRUE
1179,,22B00480,LiveBirdSurveillance,03-10-2022,DateSampling,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Zaandam,N-Holland,52.44,4.83,0,TRUE
1180,,22B00481,LiveBirdSurveillance,03-10-2022,DateSampling,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Zaandam,N-Holland,52.44,4.83,0,TRUE
