PRIMARYSAMPLEBARCODE,COLLECTIONDATE,MATTYPE,SPECIES,SPECIES EN,SPECIES LATIN,Location,BirdId
20TV1086,08-06-2020,Cloacal/throat swab,grauwe vliegenvanger,Spotted Flycatcher,Muscicapa striata,"Luttelgeest, Nederland",12321289
20TV1055,08-06-2020,Cloacal/throat swab,Zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Luttelgeest, Nederland",12321292
20TV0623,06-06-2020,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"IJmuiden, Nederland",12318357
19TV3152,05-06-2020,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"IJmuiden, Nederland",12317955
20TV0811,01-06-2020,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Wageningen, Nederland",12310716
20TV0844,08-06-2020,Cloacal/throat swab,Bosrietzanger,Marsh Warbler,Acrocephalus palustris,"Zandvoort, Nederland",12321234
20TV0861,08-06-2020,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Zandvoort, Nederland",12321231
20TV0870,08-06-2020,Cloacal/throat swab,Blauwborst,Bluethroat,Luscinia svecica,"Zandvoort, Nederland",12321236
20TV1045,01-06-2020,Cloacal/throat swab,Zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Wageningen, Nederland",12295484
20TV1047,01-06-2020,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Wageningen, Nederland",12315482
20TV1096,20-06-2020,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Bant, Nederland",12346457
20TV0103,11-06-2020,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"IJmuiden, Nederland",12323020
20TV0346,11-06-2020,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"IJmuiden, Nederland",12323021
20TV0723,30-05-2020,Cloacal/throat swab,Tuinfluiter,Garden Warbler,Sylvia borin,"Almere, Nederland",12317684
20TV1609,10-06-2020,Cloacal/throat swab,kwartel,Common Quail,Coturnix coturnix,"Exloerveen, Nederland",290569
19TV3395,11-06-2020,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Utrecht, Nederland",12419890
19TV3397,11-06-2020,Cloacal/throat swab,Ekster,Eurasian Magpie,Pica pica,"Maarssen, Nederland",12419889
20TV1100,20-06-2020,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Bant, Nederland",12346455
20TV1525,10-06-2020,Cloacal/throat swab,kwartel,Common Quail,Coturnix coturnix,"Valthermond, Nederland",290570
20TV0994,10-06-2020,Cloacal/throat swab,kwartel,Common Quail,Coturnix coturnix,"Exloo, Nederland",290566
20TV0741,30-05-2020,Cloacal/throat swab,Bosrietzanger,Marsh Warbler,Acrocephalus palustris,"Almere, Nederland",12317660
19TV1582,09-06-2020,Cloacal/throat swab,Grasmus,Common Whitethroat,Curruca communis,"Olst, Nederland",12323758
20TV1008,09-05-2020,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Olst, Nederland",12304261
20TV1037,06-06-2020,Cloacal/throat swab,Kleine Karekiet,Eurasian Reed Warbler,Acrocephalus scirpaceus,"Eastermar, Nederland",12320331
19TV2830,09-06-2020,Cloacal/throat swab,Visdief,Common Tern,Sterna hirundo,"Formerum, Nederland",12321611
19TV2834,09-06-2020,Cloacal/throat swab,Noordse stern,Arctic Tern,Sterna paradisaea,"Formerum, Nederland",12409837
20TV0997,09-06-2020,Cloacal/throat swab,Braamsluiper,Lesser Whitethroat,Sylvia curruca,"Olst, Nederland",12323768
20TV1507,07-06-2020,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,Uitgeest,12520187
20TV1508,07-06-2020,Cloacal/throat swab,Ekster,Eurasian Magpie,Pica pica,Uitgeest,12520191
20TV1509,07-06-2020,Cloacal/throat swab,Ekster,Eurasian Magpie,Pica pica,Uitgeest,12520193
20TV1510,07-06-2020,Cloacal/throat swab,Spreeuw,Common Starling,Sturnus vulgaris,Uitgeest,12520268
19TV2672,09-06-2020,Cloacal/throat swab,Oeverzwaluw,Sand Martin,Riparia riparia,"Zwolle, Nederland",12321908
20TV0704,13-06-2020,Cloacal/throat swab,gaai,Eurasian Jay,Garrulus glandarius,"Wageningen, Nederland",9984102
18TV1798,12-06-2020,Cloacal/throat swab,merel,Common Blackbird,Turdus merula,"Berg en Dal, Nederland",12471863
