,ID,capture.date,English,Dutch,Latin,family,order,Lat,Long,PMA.USUV.Ab6000,PMA.WNV.Ab6000,VNT.USUV,VNT.WNV,FRNT.USUV,FRNT.WNV,SeroResult,BirdId
2632,21TV6432,23-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.13616943,5.003493786,0,0,NA,NA,NA,NA,NA,13119043
2633,21TV6433,23-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13616943,5.003493786,0,0,NA,NA,NA,NA,NA,12719537
2634,21TV6434,23-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.13616943,5.003493786,0,0,NA,NA,NA,NA,NA,13119015
2635,21TV6435,23-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.13616943,5.003493786,1,0,NA,NA,40,10,Negative,13119047
2636,21TV6437,23-10-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.13616943,5.003493786,0,1,NA,NA,40,20,Negative,13119049
2637,21TV6438,23-10-2021,Common Barn Owl,Kerkuil,Tyto alba,Tytonidae,Strigiformes,52.13616943,5.003493786,1,0,NA,NA,10,10,Negative,12728397
2638,21TV6444,24-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.13616943,5.003493786,0,0,NA,NA,NA,NA,NA,13119168
2639,21TV6445,24-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.13616943,5.003493786,0,0,NA,NA,NA,NA,NA,13119170
2640,21TV6446,24-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.13616943,5.003493786,0,0,NA,NA,NA,NA,NA,13119173
2641,21TV6447,24-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.13616943,5.003493786,1,0,NA,NA,1280,10,USUV,13119176
2642,21TV4457,24-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.82116699,5.905499935,1,1,NA,NA,NA,NA,NA,12979765
2643,21TV4458,24-10-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,51.82116699,5.905499935,0,0,NA,NA,NA,NA,NA,12979768
2644,21TV7402,30-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.31605885,6.099630503,0,1,NA,NA,10,10,Negative,12812706
2645,21TV7400,30-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.31605885,6.099630503,0,0,NA,NA,NA,NA,NA,12812663
2646,21TV4452,23-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.8219986,5.90500021,0,0,NA,NA,NA,NA,NA,12979700
2647,21TV4453,23-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.8219986,5.90500021,1,1,NA,NA,20,10,Negative,12979755
2648,21TV4454,23-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.8219986,5.90500021,0,0,NA,NA,NA,NA,NA,12979762
2649,21TV4455,23-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.8219986,5.90500021,0,0,NA,NA,NA,NA,NA,12979645
2650,21TV6047,27-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.98352893,5.654291675,1,1,NA,NA,NA,NA,NA,12809990
2651,21TV1780,27-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,51.98352893,5.654291675,0,0,NA,NA,NA,NA,NA,12809995
2652,21TV7218,28-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.31969739,6.693592072,0,0,NA,NA,NA,NA,NA,12810201
2653,21TV7286,28-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.3226462,6.6932005,1,1,NA,NA,10,10,Negative,12810199
2654,21TV7272,28-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.31969739,6.693592072,0,0,NA,NA,NA,NA,NA,12810197
2655,21TV0793,29-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,12823474
2656,21TV7365,29-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,1,1,NA,NA,10,40,Negative,12817847
2657,21TV7351,27-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,1,0,NA,NA,2560,10,USUV,12817842
2658,21TV7387,28-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.2368563,7.0224612,1,0,NA,NA,10,10,Negative,12817844
2659,21TV7391,01-11-2021,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,52.3217598,6.1950942,0,0,NA,NA,NA,NA,NA,12594796
2660,21TV7659,02-11-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.17943344,6.05791554,1,1,NA,NA,10,10,Negative,12818575
2661,21TV6342,31-10-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.30849075,5.196929932,1,1,NA,NA,320,20,USUV,13384037
2662,21TV7546,18-10-2021,European Green Woodpecker,Groene Specht,Picus viridis,Picidae,Piciformes,53.17946773,6.058029984,0,0,NA,NA,NA,NA,NA,12798677
2663,21TV7501,02-11-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.17943344,6.05791554,0,0,NA,NA,NA,NA,NA,12818558
2664,21TV7505,02-11-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.17943344,6.05791554,1,1,NA,NA,NA,NA,NA,12818571
2665,21TV4364,31-10-2021,Redwing,Koperwiek,Turdus iliacus,Turdidae,Passeriformes,52.13616943,5.003493786,0,1,NA,NA,20,20,Negative,13118013
